n,max,empty
700,4,239
700,6,256
700,5,256
700,5,251
700,5,244
700,7,275
700,4,256
700,6,255
700,6,248
700,5,250
700,5,256
800,5,297
800,6,295
800,6,307
800,6,302
800,5,305
800,6,289
800,5,295
800,5,297
800,5,292
800,5,282
800,4,285
800,7,296
800,5,318
800,6,283
800,5,296
800,5,308
800,6,288
800,6,288
800,5,298
800,4,297
800,6,308
800,5,296
800,5,298
800,5,279
800,5,289
800,6,295
800,4,291
800,5,288
800,6,296
800,6,291
800,5,296
800,6,295
800,6,307
800,6,290
800,5,300
800,5,309
800,5,297
800,8,287
800,6,290
800,6,301
800,5,279
800,5,279
800,5,296
800,5,311
800,5,300
800,5,294
800,5,307
800,6,296
800,6,305
800,7,300
800,5,289
800,5,292
800,5,292
800,5,290
800,5,310
800,5,276
800,6,313
800,5,306
800,5,277
800,5,299
800,5,315
800,8,298
800,6,322
800,6,289
800,5,296
800,8,297
800,7,284
800,5,287
800,5,282
800,6,308
800,6,292
800,6,306
800,6,307
800,5,286
800,6,292
800,5,291
800,5,288
800,6,292
800,7,284
800,5,305
800,5,287
800,6,294
800,5,287
800,5,281
800,6,265
800,5,288
800,5,286
800,5,291
800,7,295
800,7,296
800,5,267
800,6,293
800,5,288
800,6,283
800,7,305
800,5,298
800,5,295
800,6,301
800,5,300
800,5,299
900,6,322
900,6,341
900,6,330
900,5,336
900,7,337
900,4,322
900,5,329
900,5,325
900,5,327
900,5,330
900,6,344
900,5,327
900,6,322
900,5,325
900,5,328
900,5,348
900,7,323
900,5,332
900,5,317
900,5,336
900,6,353
900,6,329
900,5,331
900,5,323
900,5,333
900,5,345
900,5,340
900,6,334
900,6,335
900,5,310
900,5,348
900,6,336
900,7,336
900,6,335
900,6,328
900,5,333
900,6,315
900,5,329
900,6,326
900,5,336
900,6,329
900,5,323
900,5,340
900,5,333
900,6,336
900,5,326
900,5,330
900,5,334
900,6,340
900,6,331
900,6,327
900,6,341
900,6,339
900,7,340
900,5,348
900,5,339
900,5,333
900,6,336
900,6,338
900,7,326
900,5,313
900,7,343
900,5,313
900,5,331
900,5,325
900,5,326
900,5,331
900,6,348
900,5,333
900,6,330
900,6,344
900,5,320
900,6,329
900,6,327
900,6,327
900,6,332
900,5,344
900,5,323
900,6,323
900,6,332
900,5,328
900,6,339
900,6,332
900,6,329
900,5,341
900,7,329
900,5,317
900,6,333
900,6,340
900,6,326
900,5,327
900,7,323
900,6,328
900,5,322
900,5,328
900,5,336
900,6,334
900,5,336
900,5,318
900,6,341
1000,5,355
1000,6,375
1000,6,363
1000,5,375
1000,5,361
1000,5,392
1000,6,355
1000,6,385
1000,6,377
1000,5,363
1000,5,340
1000,5,358
1000,5,366
1000,6,368
1000,5,381
1000,6,352
1000,6,363
1000,5,367
1000,5,384
1000,5,367
1000,5,378
1000,6,366
1000,5,375
1000,5,383
1000,6,351
1000,5,375
1000,6,366
1000,5,389
1000,5,379
1000,6,367
1000,5,365
1000,5,362
1000,5,377
1000,6,373
1000,6,360
1000,6,342
1000,5,357
1000,6,373
1000,7,373
1000,5,360
1000,6,369
1000,5,372
1000,8,358
1000,6,337
1000,5,363
1000,5,385
1000,5,383
1000,6,371
1000,6,372
1000,6,367
1000,5,363
1000,5,370
1000,6,389
1000,5,363
1000,7,365
1000,5,357
1000,6,379
1000,6,389
1000,6,376
1000,7,385
1000,6,376
1000,4,373
1000,5,372
1000,6,386
1000,5,369
1000,6,377
1000,5,351
1000,5,363
1000,7,377
1000,6,350
1000,5,378
1000,5,358
1000,7,370
1000,6,378
1000,6,375
1000,6,369
1000,5,364
1000,5,362
1000,6,351
1000,5,364
1000,5,377
1000,6,364
1000,5,360
1000,5,367
1000,5,362
1000,5,373
1000,5,376
1000,6,396
1000,5,360
1000,6,363
1000,5,365
1000,5,380
1000,6,370
1000,5,376
1000,5,347
1000,6,377
1000,6,361
1000,8,380
1000,7,355
1000,5,362
1100,8,397
1100,6,390
1100,5,400
1100,5,409
1100,6,405
1100,5,413
1100,5,392
1100,5,423
1100,6,389
1100,5,389
1100,7,403
1100,6,428
1100,5,388
1100,6,411
1100,7,381
1100,6,410
1100,6,398
1100,5,388
1100,5,421
1100,6,405
1100,6,416
1100,5,403
1100,5,413
1100,5,402
1100,6,404
1100,6,395
1100,6,412
1100,5,399
1100,5,418
1100,5,388
1100,5,385
1100,6,408
1100,5,396
1100,5,414
1100,6,403
1100,5,399
1100,6,397
1100,7,401
1100,4,397
1100,5,398
1100,5,409
1100,6,402
1100,5,421
1100,5,410
1100,5,402
1100,5,404
1100,6,408
1100,5,406
1100,5,390
1100,5,387
1100,5,409
1100,5,391
1100,5,392
1100,6,418
1100,6,399
1100,6,403
1100,5,403
1100,6,408
1100,5,424
1100,6,416
1100,6,391
1100,6,401
1100,6,408
1100,6,424
1100,5,411
1100,5,411
1100,6,409
1100,5,400
1100,5,425
1100,5,403
1100,6,412
1100,5,398
1100,5,395
1100,6,419
1100,5,393
1100,7,401
1100,5,426
1100,5,412
1100,5,410
1100,5,407
1100,7,400
1100,6,411
1100,6,405
1100,5,400
1100,5,408
1100,6,399
1100,5,384
1100,5,400
1100,5,420
1100,6,413
1100,5,393
1100,5,418
1100,7,402
1100,6,409
1100,5,402
1100,6,418
1100,5,414
1100,9,414
1100,7,426
1100,6,407
1200,5,447
1200,5,453
1200,6,460
1200,5,457
1200,5,442
1200,6,459
1200,5,455
1200,6,434
1200,8,463
1200,6,447
1200,5,450
1200,6,438
1200,5,431
1200,5,446
1200,5,425
1200,5,425
1200,6,425
1200,7,453
1200,6,434
1200,5,434
1200,5,450
1200,7,447
1200,5,466
1200,5,439
1200,5,438
1200,5,457
1200,5,444
1200,5,421
1200,5,460
1200,6,448
1200,6,430
1200,6,441
1200,5,446
1200,6,466
1200,5,432
1200,6,417
1200,6,432
1200,6,442
1200,5,449
1200,6,429
1200,5,431
1200,5,443
1200,5,444
1200,6,443
1200,6,449
1200,6,452
1200,5,435
1200,6,430
1200,6,441
1200,6,438
1200,6,434
1200,6,436
1200,6,438
1200,6,443
1200,6,442
1200,5,430
1200,6,449
1200,5,453
1200,5,433
1200,4,445
1200,5,429
1200,5,440
1200,5,448
1200,6,443
1200,6,432
1200,5,430
1200,6,443
1200,5,452
1200,6,434
1200,6,426
1200,5,440
1200,7,430
1200,6,427
1200,5,426
1200,6,445
1200,5,424
1200,6,439
1200,5,427
1200,5,424
1200,6,432
1200,6,438
1200,5,451
1200,5,437
1200,4,431
1200,5,429
1200,7,454
1200,5,445
1200,6,437
1200,6,451
