N,E,k
660,510,9
661,510,9
662,510,9
663,510,9
664,510,9
665,510,9
666,510,9
667,510,9
668,510,9
669,510,9
670,510,9
671,510,9
672,510,9
673,510,9
674,510,9
675,510,9
676,510,9
677,510,9
678,510,9
679,510,9
680,510,9
681,510,9
682,510,9
683,510,9
684,510,9
685,510,9
686,510,9
687,510,9
688,510,9
689,510,9
690,510,9
691,510,9
692,510,9
693,510,9
694,510,9
695,510,9
696,510,9
697,510,9
698,510,9
699,510,9
700,510,9
701,510,9
702,510,9
703,510,9
704,510,9
705,510,9
706,510,9
707,510,9
708,510,9
709,510,9
710,510,9
711,510,9
712,510,9
713,510,9
714,510,9
715,510,9
716,510,9
717,510,9
718,510,9
719,510,9
720,510,9
721,510,9
722,510,9
723,510,9
724,510,9
725,510,9
726,510,9
727,510,9
728,510,9
729,510,9
730,510,9
731,510,9
732,510,9
733,510,9
734,510,9
735,510,9
736,510,9
737,510,9
738,510,9
739,510,9
740,510,9
741,510,9
742,510,9
743,510,9
744,510,9
745,510,9
746,510,9
747,510,9
748,510,9
749,510,9
750,510,9
751,510,9
752,510,9
753,510,9
754,510,9
755,510,9
756,510,9
757,510,9
758,510,9
759,510,9
760,510,9
761,510,9
762,510,9
763,510,9
764,510,9
765,510,9
766,510,9
767,510,9
768,510,9
769,510,9
770,510,9
771,510,9
772,510,9
773,510,9
774,510,9
775,510,9
776,510,9
777,510,9
778,510,9
779,510,9
780,510,9
781,510,9
782,510,9
783,510,9
784,510,9
785,510,9
786,510,9
787,510,9
788,510,9
789,510,9
790,510,9
791,510,9
792,510,9
793,510,9
794,510,9
795,510,9
796,510,9
797,510,9
798,510,9
799,510,9
800,510,9
801,510,9
802,510,9
803,510,9
804,510,9
805,510,9
806,510,9
807,510,9
808,510,9
809,510,9
810,510,9
811,510,9
812,510,9
813,510,9
814,510,9
815,510,9
816,510,9
817,510,9
818,510,9
819,510,9
820,510,9
821,510,9
822,510,9
823,510,9
824,510,9
825,510,9
826,510,9
827,510,9
828,510,9
829,510,9
830,510,9
831,510,9
832,510,9
833,510,9
834,510,9
835,510,9
836,510,9
837,510,9
838,510,9
839,510,9
840,510,9
841,510,9
842,510,9
843,510,9
844,510,9
845,510,9
846,510,9
847,510,9
848,510,9
849,510,9
850,510,9
851,510,9
852,510,9
853,510,9
854,510,9
855,510,9
856,510,9
857,510,9
858,510,9
859,510,9
860,510,9
861,510,9
862,510,9
863,510,9
864,510,9
865,510,9
866,510,9
867,510,9
868,510,9
869,510,9
870,510,9
871,510,9
872,510,9
873,510,9
874,510,9
875,510,9
876,510,9
877,510,9
878,510,9
879,510,9
880,510,9
881,510,9
882,510,9
883,510,9
884,510,9
885,510,9
886,510,9
887,510,9
888,510,9
889,510,9
890,510,9
891,510,9
892,510,9
893,510,9
894,510,9
895,510,9
896,510,9
897,510,9
898,510,9
899,510,9
900,510,9
901,510,9
902,510,9
903,510,9
904,510,9
905,510,9
906,510,9
907,510,9
908,510,9
909,510,9
910,510,9
911,510,9
912,510,9
913,510,9
914,510,9
915,510,9
916,510,9
917,510,9
918,510,9
919,510,9
920,510,9
921,510,9
922,510,9
923,510,9
924,510,9
925,510,9
926,510,9
927,510,9
928,510,9
929,510,9
930,510,9
931,510,9
932,510,9
933,510,9
934,510,9
935,510,9
936,510,9
937,510,9
938,510,9
939,510,9
940,510,9
941,510,9
942,510,9
943,510,9
944,510,9
945,510,9
946,510,9
947,510,9
948,510,9
949,510,9
950,510,9
951,510,9
952,510,9
953,510,9
954,510,9
955,510,9
956,510,9
957,510,9
958,510,9
959,510,9
960,510,9
961,510,9
962,510,9
963,510,9
964,510,9
965,510,9
966,510,9
967,510,9
968,510,9
969,510,9
970,510,9
971,510,9
972,510,9
973,510,9
974,510,9
975,510,9
976,510,9
977,510,9
978,510,9
979,510,9
980,510,9
981,510,9
982,510,9
983,510,9
984,510,9
985,510,9
986,510,9
987,510,9
988,510,9
989,510,9
990,510,9
991,510,9
992,510,9
993,510,9
994,510,9
995,510,9
996,510,9
997,510,9
998,510,9
999,510,9
1000,510,9
1001,510,9
1002,510,9
1003,510,9
1004,510,9
1005,510,9
1006,510,9
1007,510,9
1008,510,9
1009,510,9
1010,510,9
1011,510,9
1012,510,9
1013,510,9
1014,510,9
1015,510,9
1016,510,9
1017,510,9
1018,510,9
1019,510,9
1020,510,9
1021,510,9
1022,510,9
1023,510,9
1024,510,9
1025,510,9
1026,510,9
1027,510,9
1028,510,9
1029,510,9
1030,510,9
1031,510,9
1032,510,9
1033,510,9
1034,510,9
1035,510,9
1036,510,9
1037,510,9
1038,510,9
1039,510,9
1040,510,9
1041,510,9
1042,510,9
1043,510,9
1044,510,9
1045,510,9
1046,510,9
1047,510,9
1048,510,9
1049,510,9
1050,510,9
1051,510,9
1052,510,9
1053,510,9
1054,510,9
1055,510,9
1056,510,9
1057,510,9
1058,510,9
1059,510,9
1060,510,9
1061,510,9
1062,510,9
1063,510,9
1064,510,9
1065,510,9
1066,510,9
1067,510,9
1068,510,9
1069,510,9
1070,510,9
1071,510,9
1072,510,9
1073,510,9
1074,510,9
1075,510,9
1076,510,9
1077,510,9
1078,510,9
1079,510,9
1080,510,9
1081,510,9
1082,510,9
1083,510,9
1084,510,9
1085,510,9
1086,510,9
1087,510,9
1088,510,9
1089,510,9
1090,510,9
1091,510,9
1092,510,9
1093,510,9
1094,510,9
1095,510,9
1096,510,9
1097,510,9
1098,510,9
1099,510,9
1100,510,9
1101,510,9
1102,510,9
1103,510,9
1104,510,9
1105,510,9
1106,510,9
1107,510,9
1108,510,9
1109,510,9
1110,510,9
1111,510,9
1112,510,9
1113,510,9
1114,510,9
1115,510,9
1116,510,9
1117,510,9
1118,510,9
1119,510,9
1120,510,9
1121,510,9
1122,510,9
1123,510,9
1124,510,9
1125,510,9
1126,510,9
1127,510,9
1128,510,9
1129,510,9
1130,510,9
1131,510,9
1132,510,9
1133,510,9
1134,510,9
1135,510,9
1136,510,9
1137,510,9
1138,510,9
1139,510,9
1140,510,9
1141,510,9
1142,510,9
1143,510,9
1144,510,9
1145,510,9
1146,510,9
1147,510,9
1148,510,9
1149,510,9
1150,510,9
1151,510,9
1152,510,9
1153,510,9
1154,510,9
1155,510,9
1156,510,9
1157,510,9
1158,510,9
1159,510,9
1160,510,9
1161,510,9
1162,510,9
1163,510,9
1164,510,9
1165,510,9
1166,510,9
1167,510,9
1168,510,9
1169,510,9
1170,510,9
1171,510,9
1172,510,9
1173,510,9
1174,510,9
1175,510,9
1176,510,9
1177,510,9
1178,510,9
1179,510,9
1180,510,9
1181,510,9
1182,510,9
1183,510,9
1184,510,9
1185,510,9
1186,510,9
1187,510,9
1188,510,9
1189,510,9
1190,510,9
1191,510,9
1192,510,9
1193,510,9
1194,510,9
1195,510,9
1196,510,9
1197,510,9
1198,510,9
1199,510,9
1200,510,9
1201,510,9
1202,510,9
1203,510,9
1204,510,9
1205,510,9
1206,510,9
1207,510,9
1208,510,9
1209,510,9
1210,510,9
1211,510,9
1212,510,9
1213,510,9
1214,510,9
1215,510,9
1216,510,9
1217,510,9
1218,510,9
1219,510,9
1220,510,9
1221,510,9
1222,510,9
1223,510,9
1224,510,9
1225,510,9
1226,510,9
1227,510,9
1228,510,9
1229,510,9
1230,510,9
1231,510,9
1232,510,9
1233,510,9
1234,510,9
1235,1022,10
1236,1022,10
1237,1022,10
1238,1022,10
1239,1022,10
1240,1022,10
1241,1022,10
1242,1022,10
1243,1022,10
1244,1022,10
1245,1022,10
1246,1022,10
1247,1022,10
1248,1022,10
1249,1022,10
1250,1022,10
1251,1022,10
1252,1022,10
1253,1022,10
1254,1022,10
1255,1022,10
1256,1022,10
1257,1022,10
1258,1022,10
1259,1022,10
1260,1022,10
1261,1022,10
1262,1022,10
1263,1022,10
1264,1022,10
1265,1022,10
1266,1022,10
1267,1022,10
1268,1022,10
1269,1022,10
1270,1022,10
1271,1022,10
1272,1022,10
1273,1022,10
1274,1022,10
1275,1022,10
1276,1022,10
1277,1022,10
1278,1022,10
1279,1022,10
1280,1022,10
1281,1022,10
1282,1022,10
1283,1022,10
1284,1022,10
1285,1022,10
1286,1022,10
1287,1022,10
1288,1022,10
1289,1022,10
1290,1022,10
1291,1022,10
1292,1022,10
1293,1022,10
1294,1022,10
1295,1022,10
1296,1022,10
1297,1022,10
1298,1022,10
1299,1022,10
1300,1022,10
1301,1022,10
1302,1022,10
1303,1022,10
1304,1022,10
1305,1022,10
1306,1022,10
1307,1022,10
1308,1022,10
1309,1022,10
1310,1022,10
1311,1022,10
1312,1022,10
1313,1022,10
1314,1022,10
1315,1022,10
1316,1022,10
1317,1022,10
1318,1022,10
1319,1022,10
1320,1022,10
1321,1022,10
1322,1022,10
1323,1022,10
1324,1022,10
1325,1022,10
1326,1022,10
1327,1022,10
1328,1022,10
1329,1022,10
1330,1022,10
1331,1022,10
1332,1022,10
1333,1022,10
1334,1022,10
1335,1022,10
1336,1022,10
1337,1022,10
1338,1022,10
1339,1022,10
1340,1022,10
1341,1022,10
1342,1022,10
1343,1022,10
1344,1022,10
1345,1022,10
1346,1022,10
1347,1022,10
1348,1022,10
1349,1022,10
1350,1022,10
1351,1022,10
1352,1022,10
1353,1022,10
1354,1022,10
1355,1022,10
1356,1022,10
1357,1022,10
1358,1022,10
1359,1022,10
1360,1022,10
1361,1022,10
1362,1022,10
1363,1022,10
1364,1022,10
1365,1022,10
1366,1022,10
1367,1022,10
1368,1022,10
1369,1022,10
1370,1022,10
1371,1022,10
1372,1022,10
1373,1022,10
1374,1022,10
1375,1022,10
1376,1022,10
1377,1022,10
1378,1022,10
1379,1022,10
1380,1022,10
1381,1022,10
1382,1022,10
1383,1022,10
1384,1022,10
1385,1022,10
1386,1022,10
1387,1022,10
1388,1022,10
1389,1022,10
1390,1022,10
1391,1022,10
1392,1022,10
1393,1022,10
1394,1022,10
1395,1022,10
1396,1022,10
1397,1022,10
1398,1022,10
1399,1022,10
1400,1022,10
1401,1022,10
1402,1022,10
1403,1022,10
1404,1022,10
1405,1022,10
1406,1022,10
1407,1022,10
1408,1022,10
1409,1022,10
1410,1022,10
1411,1022,10
1412,1022,10
1413,1022,10
1414,1022,10
1415,1022,10
1416,1022,10
1417,1022,10
1418,1022,10
1419,1022,10
1420,1022,10
1421,1022,10
1422,1022,10
1423,1022,10
1424,1022,10
1425,1022,10
1426,1022,10
1427,1022,10
1428,1022,10
1429,1022,10
1430,1022,10
1431,1022,10
1432,1022,10
1433,1022,10
1434,1022,10
1435,1022,10
1436,1022,10
1437,1022,10
1438,1022,10
1439,1022,10
1440,1022,10
1441,1022,10
1442,1022,10
1443,1022,10
1444,1022,10
1445,1022,10
1446,1022,10
1447,1022,10
1448,1022,10
1449,1022,10
1450,1022,10
1451,1022,10
1452,1022,10
1453,1022,10
1454,1022,10
1455,1022,10
1456,1022,10
1457,1022,10
1458,1022,10
1459,1022,10
1460,1022,10
1461,1022,10
1462,1022,10
1463,1022,10
1464,1022,10
1465,1022,10
1466,1022,10
1467,1022,10
1468,1022,10
1469,1022,10
1470,1022,10
1471,1022,10
1472,1022,10
1473,1022,10
1474,1022,10
1475,1022,10
1476,1022,10
1477,1022,10
1478,1022,10
1479,1022,10
1480,1022,10
1481,1022,10
1482,1022,10
1483,1022,10
1484,1022,10
1485,1022,10
1486,1022,10
1487,1022,10
1488,1022,10
1489,1022,10
1490,1022,10
1491,1022,10
1492,1022,10
1493,1022,10
1494,1022,10
1495,1022,10
1496,1022,10
1497,1022,10
1498,1022,10
1499,1022,10
1500,1022,10
1501,1022,10
1502,1022,10
1503,1022,10
1504,1022,10
1505,1022,10
1506,1022,10
1507,1022,10
1508,1022,10
1509,1022,10
1510,1022,10
1511,1022,10
1512,1022,10
1513,1022,10
1514,1022,10
1515,1022,10
1516,1022,10
1517,1022,10
1518,1022,10
1519,1022,10
1520,1022,10
1521,1022,10
1522,1022,10
1523,1022,10
1524,1022,10
1525,1022,10
1526,1022,10
1527,1022,10
1528,1022,10
1529,1022,10
1530,1022,10
1531,1022,10
1532,1022,10
1533,1022,10
1534,1022,10
1535,1022,10
1536,1022,10
1537,1022,10
1538,1022,10
1539,1022,10
1540,1022,10
1541,1022,10
1542,1022,10
1543,1022,10
1544,1022,10
1545,1022,10
1546,1022,10
1547,1022,10
1548,1022,10
1549,1022,10
1550,1022,10
1551,1022,10
1552,1022,10
1553,1022,10
1554,1022,10
1555,1022,10
1556,1022,10
1557,1022,10
1558,1022,10
1559,1022,10
1560,1022,10
1561,1022,10
1562,1022,10
1563,1022,10
1564,1022,10
1565,1022,10
1566,1022,10
1567,1022,10
1568,1022,10
1569,1022,10
1570,1022,10
1571,1022,10
1572,1022,10
1573,1022,10
1574,1022,10
1575,1022,10
1576,1022,10
1577,1022,10
1578,1022,10
1579,1022,10
1580,1022,10
1581,1022,10
1582,1022,10
1583,1022,10
1584,1022,10
1585,1022,10
1586,1022,10
1587,1022,10
1588,1022,10
1589,1022,10
1590,1022,10
1591,1022,10
1592,1022,10
1593,1022,10
1594,1022,10
1595,1022,10
1596,1022,10
1597,1022,10
1598,1022,10
1599,1022,10
1600,1022,10
1601,1022,10
1602,1022,10
1603,1022,10
1604,1022,10
1605,1022,10
1606,1022,10
1607,1022,10
1608,1022,10
1609,1022,10
1610,1022,10
1611,1022,10
1612,1022,10
1613,1022,10
1614,1022,10
1615,1022,10
1616,1022,10
1617,1022,10
1618,1022,10
1619,1022,10
1620,1022,10
1621,1022,10
1622,1022,10
1623,1022,10
1624,1022,10
1625,1022,10
1626,1022,10
1627,1022,10
1628,1022,10
1629,1022,10
1630,1022,10
1631,1022,10
1632,1022,10
1633,1022,10
1634,1022,10
1635,1022,10
1636,1022,10
1637,1022,10
1638,1022,10
1639,1022,10
1640,1022,10
1641,1022,10
1642,1022,10
1643,1022,10
1644,1022,10
1645,1022,10
1646,1022,10
1647,1022,10
1648,1022,10
1649,1022,10
1650,1022,10
1651,1022,10
1652,1022,10
1653,1022,10
1654,1022,10
1655,1022,10
1656,1022,10
1657,1022,10
1658,1022,10
1659,1022,10
1660,1022,10
1661,1022,10
1662,1022,10
1663,1022,10
1664,1022,10
1665,1022,10
1666,1022,10
1667,1022,10
1668,1022,10
1669,1022,10
1670,1022,10
1671,1022,10
1672,1022,10
1673,1022,10
1674,1022,10
1675,1022,10
1676,1022,10
1677,1022,10
1678,1022,10
1679,1022,10
1680,1022,10
1681,1022,10
1682,1022,10
1683,1022,10
1684,1022,10
1685,1022,10
1686,1022,10
1687,1022,10
1688,1022,10
1689,1022,10
1690,1022,10
1691,1022,10
1692,1022,10
1693,1022,10
1694,1022,10
1695,1022,10
1696,2046,11
1697,2046,11
1698,2046,11
1699,2046,11
1700,2046,11
1701,2046,11
1702,2046,11
1703,2046,11
1704,2046,11
1705,2046,11
1706,2046,11
1707,2046,11
1708,2046,11
1709,2046,11
1710,2046,11
1711,2046,11
1712,2046,11
1713,2046,11
1714,2046,11
1715,2046,11
1716,2046,11
1717,2046,11
1718,2046,11
1719,2046,11
1720,2046,11
1721,2046,11
1722,2046,11
1723,2046,11
1724,2046,11
1725,2046,11
1726,2046,11
1727,2046,11
1728,2046,11
1729,2046,11
1730,2046,11
1731,2046,11
1732,2046,11
1733,2046,11
1734,2046,11
1735,2046,11
1736,2046,11
1737,2046,11
1738,2046,11
1739,2046,11
1740,2046,11
1741,2046,11
1742,2046,11
1743,2046,11
1744,2046,11
1745,2046,11
1746,2046,11
1747,2046,11
1748,2046,11
1749,2046,11
1750,2046,11
1751,2046,11
1752,2046,11
1753,2046,11
1754,2046,11
1755,2046,11
1756,2046,11
1757,2046,11
1758,2046,11
1759,2046,11
1760,2046,11
1761,2046,11
1762,2046,11
1763,2046,11
1764,2046,11
1765,2046,11
1766,2046,11
1767,2046,11
1768,2046,11
1769,2046,11
1770,2046,11
1771,2046,11
1772,2046,11
1773,2046,11
1774,2046,11
1775,2046,11
1776,2046,11
1777,2046,11
1778,2046,11
1779,2046,11
1780,2046,11
1781,2046,11
1782,2046,11
1783,2046,11
1784,2046,11
1785,2046,11
1786,2046,11
1787,2046,11
1788,2046,11
1789,2046,11
1790,2046,11
1791,2046,11
1792,2046,11
1793,2046,11
1794,2046,11
1795,2046,11
1796,2046,11
1797,2046,11
1798,2046,11
1799,2046,11
1800,2046,11
1801,2046,11
1802,2046,11
1803,2046,11
1804,2046,11
1805,2046,11
1806,2046,11
1807,2046,11
1808,2046,11
1809,2046,11
1810,2046,11
1811,2046,11
1812,2046,11
1813,2046,11
1814,2046,11
1815,2046,11
1816,2046,11
1817,2046,11
1818,2046,11
1819,2046,11
1820,2046,11
1821,2046,11
1822,2046,11
1823,2046,11
1824,2046,11
1825,2046,11
1826,2046,11
1827,2046,11
1828,2046,11
1829,2046,11
1830,2046,11
1831,2046,11
1832,2046,11
1833,2046,11
1834,2046,11
1835,2046,11
1836,2046,11
1837,2046,11
1838,2046,11
1839,2046,11
1840,2046,11
1841,2046,11
1842,2046,11
1843,2046,11
1844,2046,11
1845,2046,11
1846,2046,11
1847,2046,11
1848,2046,11
1849,2046,11
1850,2046,11
1851,2046,11
1852,2046,11
1853,2046,11
1854,2046,11
1855,2046,11
1856,2046,11
1857,2046,11
1858,2046,11
1859,2046,11
1860,2046,11
1861,2046,11
1862,2046,11
1863,2046,11
1864,2046,11
1865,2046,11
1866,2046,11
1867,2046,11
1868,2046,11
1869,2046,11
1870,2046,11
1871,2046,11
1872,2046,11
1873,2046,11
1874,2046,11
1875,2046,11
1876,2046,11
1877,2046,11
1878,2046,11
1879,2046,11
1880,2046,11
1881,2046,11
1882,2046,11
1883,2046,11
1884,2046,11
1885,2046,11
1886,2046,11
1887,2046,11
1888,2046,11
1889,2046,11
1890,2046,11
1891,2046,11
1892,2046,11
1893,2046,11
1894,2046,11
1895,2046,11
1896,2046,11
1897,2046,11
1898,2046,11
1899,2046,11
1900,2046,11
1901,2046,11
1902,2046,11
1903,2046,11
1904,2046,11
1905,2046,11
1906,2046,11
1907,2046,11
1908,2046,11
1909,2046,11
1910,2046,11
1911,2046,11
1912,2046,11
1913,2046,11
1914,2046,11
1915,2046,11
1916,2046,11
1917,2046,11
1918,2046,11
1919,2046,11
1920,2046,11
1921,2046,11
1922,2046,11
1923,2046,11
1924,2046,11
1925,2046,11
1926,2046,11
1927,2046,11
1928,2046,11
1929,2046,11
1930,2046,11
1931,2046,11
1932,2046,11
1933,2046,11
1934,2046,11
1935,2046,11
1936,2046,11
1937,2046,11
1938,2046,11
1939,2046,11
1940,2046,11
1941,2046,11
1942,2046,11
1943,2046,11
1944,2046,11
1945,2046,11
1946,2046,11
1947,2046,11
1948,2046,11
1949,2046,11
1950,2046,11
1951,2046,11
1952,2046,11
1953,2046,11
1954,2046,11
1955,2046,11
1956,2046,11
1957,2046,11
1958,2046,11
1959,2046,11
1960,2046,11
1961,2046,11
1962,2046,11
1963,2046,11
1964,2046,11
1965,2046,11
1966,2046,11
1967,2046,11
1968,2046,11
1969,2046,11
1970,2046,11
1971,2046,11
1972,2046,11
1973,2046,11
1974,2046,11
1975,2046,11
1976,2046,11
1977,2046,11
1978,2046,11
1979,2046,11
1980,2046,11
1981,2046,11
1982,2046,11
1983,2046,11
1984,2046,11
1985,2046,11
1986,2046,11
1987,2046,11
1988,2046,11
1989,2046,11
1990,2046,11
1991,2046,11
1992,2046,11
1993,2046,11
1994,2046,11
1995,2046,11
1996,2046,11
1997,2046,11
1998,2046,11
1999,2046,11
2000,2046,11
2001,2046,11
2002,2046,11
2003,2046,11
2004,2046,11
2005,2046,11
2006,2046,11
2007,2046,11
2008,2046,11
2009,2046,11
2010,2046,11
2011,2046,11
2012,2046,11
2013,2046,11
2014,2046,11
2015,2046,11
2016,2046,11
2017,2046,11
2018,2046,11
2019,2046,11
2020,2046,11
2021,2046,11
2022,2046,11
2023,2046,11
2024,2046,11
2025,2046,11
2026,2046,11
2027,2046,11
