N,removed,diff,iterations
200,802,408,67053
200,808,408,67684
200,750,408,64774
200,744,408,63536
200,780,408,65918
200,764,408,65150
200,759,408,65212
200,784,408,66447
200,753,408,64373
200,770,408,65286
200,735,408,63272
200,809,408,68324
200,818,408,68131
200,772,408,65471
200,771,408,65357
200,775,408,65420
200,743,408,64465
200,775,408,65806
200,770,408,65239
200,749,408,64267
200,756,408,64600
200,772,408,65798
200,751,408,64403
200,793,408,66963
200,772,408,65778
200,785,408,66623
200,766,408,64806
200,791,408,67191
200,809,408,68044
200,762,408,65386
200,768,408,65333
200,748,408,64381
200,780,408,65923
200,776,408,65690
200,772,408,65721
200,765,408,65084
200,812,408,68147
200,740,408,63935
200,754,408,64773
200,785,408,66373
200,767,408,65418
200,764,408,65392
200,752,408,64592
200,796,408,66432
200,761,408,65112
200,812,408,68333
200,754,408,64200
200,759,408,64730
200,789,408,66263
200,762,408,65260
200,743,408,64081
200,765,408,65142
200,781,408,66167
200,769,408,65128
200,771,408,65367
200,768,408,65758
200,782,408,66094
200,768,408,65727
200,771,408,65482
200,772,408,65352
200,747,408,64391
200,770,408,65228
200,772,408,65454
200,761,408,65267
200,759,408,64836
200,736,408,63779
200,768,408,65291
200,754,408,64777
200,764,408,65017
200,782,408,66721
200,758,408,65149
200,779,408,66663
200,801,408,67448
200,773,408,66387
200,759,408,64785
200,724,408,63234
200,788,408,66111
200,753,408,64823
200,769,408,65465
200,775,408,65491
200,757,408,64445
200,776,408,66279
200,743,408,63739
200,758,408,64424
200,754,408,64508
200,780,408,66341
200,775,408,65535
200,787,408,66864
200,783,408,66224
200,791,408,66677
200,792,408,66743
200,775,408,66262
200,759,408,64684
200,777,408,66181
200,752,408,64692
200,792,408,66797
200,757,408,64520
200,790,408,66711
200,769,408,65392
200,776,408,65717
200,795,408,67219
200,722,408,62494
200,772,408,65737
200,799,408,67951
200,773,408,65541
200,804,408,67555
200,799,408,67723
200,762,408,65263
200,805,408,67505
200,780,408,66070
200,730,408,63541
200,777,408,65461
200,756,408,64884
200,791,408,66987
200,802,408,67591
200,765,408,65307
200,758,408,64773
200,806,408,67569
200,756,408,64243
200,785,408,66220
200,762,408,64775
200,791,408,66790
200,784,408,66548
200,754,408,64524
200,765,408,65057
200,750,408,64176
200,750,408,64234
200,767,408,65030
200,774,408,65845
200,754,408,64707
200,771,408,65868
200,737,408,63624
200,790,408,66707
