N,triangles,iterations
700,1408,586296
800,1608,748178
800,1608,746129
800,1608,749022
800,1608,741814
800,1608,750046
800,1608,745576
800,1608,745588
800,1608,742842
800,1608,747414
800,1608,744462
800,1608,747486
800,1608,745987
800,1608,744837
800,1608,751415
800,1608,743011
800,1608,746959
800,1608,742808
800,1608,745766
800,1608,744293
800,1608,741152
800,1608,746970
800,1608,748418
800,1608,747865
800,1608,747722
800,1608,745642
800,1608,747390
800,1608,742714
800,1608,747109
800,1608,742187
800,1608,747775
800,1608,746945
800,1608,743527
800,1608,745660
800,1608,744324
800,1608,744142
800,1608,746684
800,1608,746904
800,1608,749609
800,1608,742652
800,1608,745507
800,1608,749684
800,1608,744091
800,1608,746288
800,1608,742680
800,1608,742605
800,1608,741799
800,1608,750454
800,1608,748922
800,1608,748815
800,1608,751702
800,1608,750183
800,1608,747390
800,1608,747644
800,1608,746121
800,1608,747186
800,1608,748607
800,1608,747054
800,1608,744953
800,1608,748298
800,1608,743919
800,1608,750710
800,1608,750655
800,1608,743447
800,1608,746097
800,1608,743842
800,1608,749248
800,1608,744165
800,1608,745877
800,1608,746312
800,1608,744940
800,1608,746509
800,1608,745301
800,1608,748608
800,1608,746519
800,1608,745339
800,1608,748154
800,1608,749216
800,1608,746585
800,1608,746290
800,1608,745501
800,1608,745258
800,1608,748338
800,1608,744898
800,1608,746154
800,1608,744746
800,1608,747949
800,1608,745629
800,1608,745253
800,1608,745086
800,1608,749862
800,1608,743116
800,1608,743332
800,1608,744282
800,1608,745421
800,1608,747291
800,1608,747178
800,1608,744954
800,1608,743745
800,1608,746322
800,1608,746593
900,1808,929135
900,1808,926550
900,1808,928226
900,1808,933270
900,1808,924925
900,1808,932846
900,1808,929199
900,1808,926209
900,1808,929153
900,1808,930041
900,1808,927657
900,1808,926678
900,1808,930405
900,1808,931132
900,1808,928600
900,1808,929306
900,1808,930810
900,1808,924953
900,1808,927114
900,1808,932000
900,1808,930508
900,1808,929371
900,1808,928345
900,1808,927119
900,1808,930255
900,1808,931647
900,1808,926732
900,1808,928676
900,1808,928811
900,1808,927082
900,1808,930618
900,1808,928790
900,1808,927998
900,1808,932478
900,1808,928866
900,1808,927167
900,1808,930781
900,1808,929659
900,1808,929530
900,1808,926334
900,1808,931669
900,1808,933569
900,1808,926961
900,1808,929423
900,1808,929739
900,1808,926915
900,1808,925103
900,1808,929511
900,1808,928208
900,1808,928466
900,1808,926746
900,1808,927399
900,1808,931592
900,1808,931249
900,1808,930682
900,1808,931198
900,1808,932179
900,1808,927411
900,1808,930218
900,1808,930120
900,1808,926579
900,1808,932861
900,1808,930815
900,1808,925783
900,1808,928934
900,1808,926422
900,1808,931257
900,1808,931230
900,1808,931691
900,1808,932246
900,1808,926453
900,1808,934319
900,1808,932832
900,1808,926591
900,1808,929172
900,1808,929139
900,1808,930720
900,1808,933714
900,1808,926838
900,1808,932363
900,1808,932965
900,1808,931511
900,1808,928653
900,1808,931216
900,1808,932156
900,1808,930920
900,1808,931441
900,1808,928174
900,1808,933579
900,1808,928037
900,1808,931983
900,1808,926779
900,1808,928973
900,1808,933539
900,1808,929201
900,1808,926163
900,1808,926840
900,1808,931685
900,1808,928640
900,1808,929382
1000,2008,1132929
1000,2008,1126650
1000,2008,1129536
1000,2008,1133338
1000,2008,1133482
1000,2008,1134523
1000,2008,1132140
1000,2008,1132514
1000,2008,1138353
1000,2008,1135998
1000,2008,1132121
1000,2008,1131298
1000,2008,1133700
1000,2008,1139530
1000,2008,1127708
1000,2008,1138057
1000,2008,1130602
1000,2008,1127455
1000,2008,1134985
1000,2008,1133816
1000,2008,1136429
1000,2008,1129924
1000,2008,1130054
1000,2008,1132638
1000,2008,1130756
1000,2008,1131408
1000,2008,1135008
1000,2008,1130932
1000,2008,1131357
1000,2008,1130201
1000,2008,1135623
1000,2008,1136364
1000,2008,1135629
1000,2008,1138699
1000,2008,1133886
1000,2008,1133495
1000,2008,1132674
1000,2008,1132396
1000,2008,1130043
1000,2008,1134093
1000,2008,1134123
1000,2008,1131006
1000,2008,1137087
1000,2008,1135654
1000,2008,1134019
1000,2008,1132234
1000,2008,1133449
1000,2008,1131951
1000,2008,1135010
1000,2008,1136041
1000,2008,1131568
1000,2008,1129595
1000,2008,1133372
1000,2008,1134089
1000,2008,1131673
1000,2008,1130373
1000,2008,1127860
1000,2008,1132117
1000,2008,1132370
1000,2008,1133620
1000,2008,1131452
1000,2008,1131524
1000,2008,1132717
1000,2008,1134283
1000,2008,1137998
1000,2008,1133583
1000,2008,1138662
1000,2008,1131940
1000,2008,1132152
1000,2008,1132626
1000,2008,1135708
1000,2008,1130138
1000,2008,1133813
1000,2008,1129791
1000,2008,1138020
1000,2008,1131189
1000,2008,1130648
1000,2008,1134294
1000,2008,1133979
1000,2008,1134113
1000,2008,1137067
1000,2008,1132954
1000,2008,1129212
1000,2008,1130877
1000,2008,1134242
1000,2008,1130674
1000,2008,1131974
1000,2008,1132658
1000,2008,1126309
1000,2008,1128611
1000,2008,1131335
1000,2008,1130557
1000,2008,1135921
1000,2008,1131206
1000,2008,1133245
1000,2008,1134428
1000,2008,1131324
1000,2008,1127774
1000,2008,1134758
1000,2008,1133887
